,mem,int,tru,emp,aes,itt,cft,topic,img_index,mem-why,int-why,tru-why,emp-why,aes-why,itt-why,cft-why,chart_name
0,6,6,6,4,6,5,2,GlobalWarming,8,it is very convoluted but you can remember few countries.,It is a very trendy topic.,It's well done,I can understand that over time the planet becomes more polluted.,It's well done and colors are well chosen.,You can clearly see how it increases over time.,It seems a bit complicated.,GlobalWarming-8
1,2,4,6,2,6,3,3,GlobalWarming,9,It seems a bit complicated.,It's difficult to understand.,It's well done.,It's difficult to understand.,The colors are well chosen.,It's a little hard to see what you want.,it is a little convoluted.,GlobalWarming-9
2,6,6,4,4,5,6,5,GlobalWarming,4,It is simple.,It is an interesting topic because it deals with something current.,It seems based on official data but it looks very simple.,It seems based on official data.,It is simple and colors are well chosen.,It is a simple and common graph.,It easy to see what you are looking for.,GlobalWarming-4
3,6,6,5,5,6,6,6,GlobalWarming,5,You can clearly see the air temperature is raising over time.,It shows that the air temperature is rising.,It seems based on official data but it looks very simple.,It is easy to understand.,The colors are well chosen. It looks clean.,You can clearly see the air temperature is raising over time.,It is easy to read.,GlobalWarming-5
4,2,5,6,5,2,4,2,GlobalWarming,6,It is very convoluted and tangled.,It shows that temperature and sea level are rising.,It seems based on official data.,It makes you understand that there is a problem with the environment.,It is very convoluted and tangled.,It is not very easy to read buy you can sense it because the graph is going up.,It is not pleasant to the eye.,GlobalWarming-6
5,5,6,6,6,6,6,6,GlobalWarming,7,It is well done and easy to read. You can clearly see in 40s the temperature raised a little bit and then it continued to go up.,It shows that there is a global temperature problem.,It seems based on official data.,It shows that there is a global temperature problem and we need to do something about it.,Easy to read and colors are well chosen.,It is simple and you can clearly see how the graph is following a pattern.,It is easy to read.,GlobalWarming-7
6,5,6,0,2,7,2,6,GlobalWarming,9,"The colors used are really beautiful, almost like a painting.",I really like the look of the splashes of color.,I don't know enough about the subject to know if I can trust it. It doesn't seem right to me.,I don't know much about Kinshasa or Lagos.,The splashes of color look very nice.,I would not think those two places would be at such high risk.,I have no problem looking at the chart.,GlobalWarming-9
7,7,6,3,6,6,6,6,GlobalWarming,4,The chart is very clear and easy to understand.,It is interesting to see exactly where the most emissions are coming from.,It does not say where this information is coming from.,These emissions affect everyone including me.,The chart is very clear and looks very clean and nice.,I would have assumed that most emissions come from the same places the chart mentions.,The chart is easy to read and I had no problems with it.,GlobalWarming-4
8,2,4,2,2,6,6,6,GlobalWarming,5,"I am not too familiar with degrees in celsius, only farenheit, so I would have a hard time remembering this.","The chart has interesting color combinations, which I find interesting to look at, but I don't really care about the topic.",I don't know who did the study or where they got the information.,I don't really care about the subject so I can't really empathize with it.,"I like the combination of the colors, it almost has a neon look to it.","I would assume that due to global warming, that the temperatures would increase over time.",I have no problems looking at or reading the chart.,GlobalWarming-5
9,1,5,2,5,1,6,3,GlobalWarming,6,The chart is pretty ugly and confusing to me. I would not remember this easily.,"I think the topic it covers is interesting and important, but I don't like the look of it.",It does not say how they measured any of the findings nor where the information even comes from.,"I think the topic being researched affects everyone, so I can empathize with it.",I find the look of the chart to be pretty ugly.,"Due to global warming, I would assume that temperatures would go up and snow cover would go down.","I don't really like the colors or the look of the chart, so it makes me a bit uncomfortable to look at it.",GlobalWarming-6
10,7,2,6,6,7,7,7,GlobalWarming,7,"The chart clearly goes from low to high, which is to be expected, so I would find it easy to remember.","I knew this information already, so it was not too interesting to me.","The chart comes from Nasa, which I would consider a very reliable source.","This is information that will affect the entire human race, so I can empathize with it.",The chart uses nice and pleasant colors which I find very pleasing to look at.,I would assume that temperatures would go up over time.,"The chart looks great and it comes from Nasa, so I am comfortable with it.",GlobalWarming-7
11,7,7,2,6,6,3,6,GlobalWarming,8,"The graph is really interesting and unique and has a sense of movement to the graphics, so I would remember it.","I find the look and design of the graph to be interesting and unique, so I find it interesting.","I don't know where this information is coming from or how it was measured, so I would not trust it yet.","This is a subject that affects the entire world, so I would empathize with it.",I think the graph looks really interesting and cool and I like the colors of it.,I did not think the United States would be on the bottom.,I like looking at the graph and I think the subject matter is important.,GlobalWarming-8
12,3,6,5,5,4,7,6,COVID,7,I wouldn't be able to correctly remember all the various points of the chart,"It's definitely information that would be interesting for everyone, considering it's about covid.",The source in the chart looks trustworthy.,"Considering it's about COVID, probably everyone can empathize with it. Especially if it's someone from EU or the US.","Could be better, in my opinion. I don't really like it.","Definitely intuitive, doesn't take much time to fully comprehend it.","Considering all the information I wrote in the other points, I feel quite confortable with this chart.",COVID-7
13,3,5,4,6,5,5,5,COVID,8,Way too much information to remember all of it.,It is very interesting to compare the various points,I do not know much about the source so I will remain neutral about it.,"My country is among those on the chart, so I empathise a lot with the data that is in it.","It is decent but could be organised more efficiently, for sure.","Enough because you can quickly compare the two sides, but it could be better organised.","Quite comforting, as I said in the other points surely better ways could have been found to organise the chart and make it easier to remember.",COVID-8
14,2,6,7,2,5,4,5,COVID,3,Probably only with basic information such as sides or most/least affected states.,It is always interesting to compare different states according to their choices and influences.,"There are many known sources, the chart gives it a lot of space, so it seems very trustworthy.",Not much since most are not vaccinated.,"The chart can communicate information effectively, especially if you are local.","Neutral, it is good but difficult to remember.","Quite, but I find it too difficult to remember except for a few most important points.",COVID-3
15,6,6,0,6,5,6,4,COVID,4,It is certainly easy to remember the most affected contries.,It is very interesting to be able to compare one's own country to one of the present ones.,I see no source in the image.,"Living in one of the most affected states, yes, I can empathise with the data.","Stronger colours could have been chosen for the most affected contries, and they are not quite sorted by %.",Little information and communicated fairly quickly with a pie chart.,"It is a good chart, but without sources and the data are not communicated in an orderly and correct manner.",COVID-4
16,6,6,6,6,5,6,6,COVID,5,It's easy to remember considering it's something everyone in the world lived at the time.,"It's really interesting because we all lived this period of time, and we can see how it influenced our lives.","It says data is just preliminary and subject to change, si I don't find it 100% trustworthy, but still really useful.",I can empathize with it because I lived in one of the countries most affected by covid.,"It's pleasing, the information is easily recognisable.",You learn all the information immediately and communicate it effectively.,"Apart from the fact that the data may be subject to change, I am very comfortable with the chart, it is designed effectively and efficiently.",COVID-5
