db_type,temp,chart_type,text_level,chart_quantity,img_index,someoneIdx,trialIdx,mem,int,tru,emp,sur,aes
Rand5_QPromptV1,0.1,pie,msg,single,1,0,0,5,5,5,3,3,3
Rand5_QPromptV1,0.1,pie,msg,single,1,1,0,3,3,5,1,1,3
Rand5_QPromptV1,0.1,pie,msg,single,1,2,0,5,3,5,3,1,5
Rand5_QPromptV1,0.1,pie,msg,single,1,3,0,3,3,5,3,3,3
Rand5_QPromptV1,0.1,pie,msg,single,1,4,0,3,3,5,1,3,5
Rand5_QPromptV1,0.5,pie,msg,single,1,0,0,5,5,5,5,3,3
Rand5_QPromptV1,0.5,pie,msg,single,1,1,0,3,3,5,3,1,3
Rand5_QPromptV1,0.5,pie,msg,single,1,2,0,5,3,5,3,1,3
Rand5_QPromptV1,0.5,pie,msg,single,1,3,0,3,3,5,3,3,3
Rand5_QPromptV1,0.5,pie,msg,single,1,4,0,3,3,5,1,1,3
Rand5_QPromptV1,1.0,pie,msg,single,1,0,0,5,5,5,5,3,3
Rand5_QPromptV1,1.0,pie,msg,single,1,1,0,3,3,5,3,1,3
Rand5_QPromptV1,1.0,pie,msg,single,1,2,0,5,3,5,3,1,5
Rand5_QPromptV1,1.0,pie,msg,single,1,3,0,3,3,5,3,3,3
Rand5_QPromptV1,1.0,pie,msg,single,1,4,0,5,3,5,1,3,5
Rand5_QPromptV1,0.1,pie,msg,single,1,0,1,5,5,5,5,3,3
Rand5_QPromptV1,0.1,pie,msg,single,1,1,1,3,3,5,3,1,3
Rand5_QPromptV1,0.1,pie,msg,single,1,2,1,5,3,5,3,1,3
Rand5_QPromptV1,0.1,pie,msg,single,1,3,1,3,3,5,3,3,3
Rand5_QPromptV1,0.1,pie,msg,single,1,4,1,3,3,5,1,1,3
Rand5_QPromptV1,0.5,pie,msg,single,1,0,1,5,5,5,5,3,3
Rand5_QPromptV1,0.5,pie,msg,single,1,1,1,3,3,5,3,1,3
Rand5_QPromptV1,0.5,pie,msg,single,1,2,1,5,3,5,3,1,5
Rand5_QPromptV1,0.5,pie,msg,single,1,3,1,3,3,5,3,3,3
Rand5_QPromptV1,0.5,pie,msg,single,1,4,1,3,3,5,1,1,3
Rand5_QPromptV1,1.0,pie,msg,single,1,0,1,5,5,5,5,3,3
Rand5_QPromptV1,1.0,pie,msg,single,1,1,1,3,3,5,3,1,3
Rand5_QPromptV1,1.0,pie,msg,single,1,2,1,5,3,5,3,1,5
Rand5_QPromptV1,1.0,pie,msg,single,1,3,1,3,3,5,3,3,3
Rand5_QPromptV1,1.0,pie,msg,single,1,4,1,3,3,5,1,1,3
Rand5_QPromptV1,0.1,pie,msg,single,1,0,2,5,5,5,5,3,3
Rand5_QPromptV1,0.1,pie,msg,single,1,1,2,3,3,5,3,1,3
Rand5_QPromptV1,0.1,pie,msg,single,1,2,2,5,3,5,3,1,5
Rand5_QPromptV1,0.1,pie,msg,single,1,3,2,3,3,5,3,3,3
Rand5_QPromptV1,0.1,pie,msg,single,1,4,2,3,3,5,1,3,5
Rand5_QPromptV1,0.5,pie,msg,single,1,0,2,5,5,5,5,3,3
Rand5_QPromptV1,0.5,pie,msg,single,1,1,2,3,3,5,3,3,3
Rand5_QPromptV1,0.5,pie,msg,single,1,2,2,5,3,5,3,1,3
