db_type,img_name,mem,int,tru,emp,aes,itt,cft
Rand10_QPromptV3,COVID-1,6,5,7,5,6,7,6
Rand10_QPromptV3,COVID-1,5,4,6,4,5,5,5
Rand10_QPromptV3,COVID-1,5,5,6,4,5,6,5
Rand10_QPromptV3,COVID-1,6,6,7,5,6,7,6
Rand10_QPromptV3,COVID-1,5,4,6,4,5,6,5
Rand10_QPromptV3,COVID-2,6,7,6,6,5,6,6
Rand10_QPromptV3,COVID-2,5,6,5,5,4,5,5
Rand10_QPromptV3,COVID-2,6,6,6,5,5,6,5
Rand10_QPromptV3,COVID-2,7,7,6,6,6,7,6
Rand10_QPromptV3,COVID-2,5,5,5,4,4,5,5
Rand10_QPromptV3,COVID-3,7,6,7,5,6,7,6
Rand10_QPromptV3,COVID-3,6,5,6,6,5,6,6
Rand10_QPromptV3,COVID-3,6,5,6,5,5,6,5
Rand10_QPromptV3,COVID-3,7,7,7,6,6,7,7
Rand10_QPromptV3,COVID-3,6,5,6,7,5,6,6
Rand10_QPromptV3,COVID-4,6,7,7,5,6,6,6
Rand10_QPromptV3,COVID-4,5,6,6,4,5,5,5
Rand10_QPromptV3,COVID-4,6,6,6,5,5,6,5
Rand10_QPromptV3,COVID-4,7,7,7,6,7,7,6
Rand10_QPromptV3,COVID-4,5,5,6,4,5,5,5
Rand10_QPromptV3,COVID-5,7,6,7,6,7,7,6
Rand10_QPromptV3,COVID-5,6,5,6,5,6,6,5
Rand10_QPromptV3,COVID-5,6,6,6,5,6,6,6
Rand10_QPromptV3,COVID-5,7,7,7,6,7,7,7
Rand10_QPromptV3,COVID-5,6,5,6,5,6,6,5
Rand10_QPromptV3,COVID-6,7,7,7,6,7,7,7
Rand10_QPromptV3,COVID-6,6,6,6,5,6,6,6
Rand10_QPromptV3,COVID-6,7,7,7,6,7,7,6
Rand10_QPromptV3,COVID-6,7,7,7,6,7,7,7
Rand10_QPromptV3,COVID-6,6,6,6,5,6,6,6
Rand10_QPromptV3,COVID-7,6,7,7,5,6,6,6
Rand10_QPromptV3,COVID-7,5,6,6,4,5,5,5
Rand10_QPromptV3,COVID-7,6,6,6,5,5,6,5
Rand10_QPromptV3,COVID-7,7,7,7,6,7,7,6
Rand10_QPromptV3,COVID-7,5,5,6,4,5,5,5
Rand10_QPromptV3,COVID-8,7,6,7,6,7,7,6
Rand10_QPromptV3,COVID-8,6,5,6,5,6,6,5
Rand10_QPromptV3,COVID-8,6,6,6,5,6,6,6
Rand10_QPromptV3,COVID-8,7,7,7,6,7,7,7
Rand10_QPromptV3,COVID-8,6,5,6,5,6,6,5
Rand10_QPromptV3,COVID-9,6,7,7,5,6,6,6
Rand10_QPromptV3,COVID-9,5,6,6,4,5,5,5
Rand10_QPromptV3,COVID-9,6,6,6,5,5,6,5
Rand10_QPromptV3,COVID-9,7,7,7,6,7,7,6
Rand10_QPromptV3,COVID-9,5,5,6,4,5,5,5
Rand10_QPromptV3,COVID-10,7,7,7,6,7,7,7
Rand10_QPromptV3,COVID-10,6,6,6,5,6,6,6
Rand10_QPromptV3,COVID-10,7,7,7,6,7,7,6
Rand10_QPromptV3,COVID-10,7,7,7,6,7,7,7
Rand10_QPromptV3,COVID-10,6,6,6,5,6,6,6
Rand10_QPromptV3,COVID-11,6,7,7,5,6,6,6
Rand10_QPromptV3,COVID-11,5,6,6,4,5,5,5
Rand10_QPromptV3,COVID-11,6,6,6,5,5,6,5
Rand10_QPromptV3,COVID-11,7,7,7,6,7,7,6
Rand10_QPromptV3,COVID-11,5,5,6,4,5,5,5
Rand10_QPromptV3,COVID-12,7,6,7,6,7,7,6
Rand10_QPromptV3,COVID-12,6,5,6,5,6,6,5
Rand10_QPromptV3,COVID-12,6,6,6,5,6,6,6
Rand10_QPromptV3,COVID-12,7,7,7,6,7,7,7
Rand10_QPromptV3,COVID-12,6,5,6,5,6,6,5
Rand10_QPromptV3,GlobalWarming-1,6,5,6,5,6,7,6
Rand10_QPromptV3,GlobalWarming-1,5,6,7,6,5,5,5
Rand10_QPromptV3,GlobalWarming-1,5,5,6,4,5,6,5
Rand10_QPromptV3,GlobalWarming-1,7,6,5,4,7,6,6
Rand10_QPromptV3,GlobalWarming-1,5,5,6,5,5,5,5
Rand10_QPromptV3,GlobalWarming-2,5,6,6,5,5,6,5
Rand10_QPromptV3,GlobalWarming-2,4,5,6,4,4,4,4
Rand10_QPromptV3,GlobalWarming-2,4,5,5,4,5,5,4
Rand10_QPromptV3,GlobalWarming-2,6,7,5,4,6,5,5
Rand10_QPromptV3,GlobalWarming-2,4,4,5,3,4,4,4
Rand10_QPromptV3,GlobalWarming-3,6,7,7,6,6,6,6
Rand10_QPromptV3,GlobalWarming-3,5,6,6,5,5,4,5
Rand10_QPromptV3,GlobalWarming-3,5,6,6,5,5,5,5
Rand10_QPromptV3,GlobalWarming-3,7,7,6,5,7,6,6
Rand10_QPromptV3,GlobalWarming-3,5,5,6,4,5,4,5
Rand10_QPromptV3,GlobalWarming-4,7,6,7,6,6,7,7
Rand10_QPromptV3,GlobalWarming-4,6,5,7,5,5,6,6
Rand10_QPromptV3,GlobalWarming-4,7,6,7,6,6,7,6
Rand10_QPromptV3,GlobalWarming-4,6,5,6,5,6,6,6
Rand10_QPromptV3,GlobalWarming-4,6,5,7,5,5,6,6
Rand10_QPromptV3,GlobalWarming-5,7,6,7,6,7,7,7
Rand10_QPromptV3,GlobalWarming-5,6,6,6,5,6,5,6
Rand10_QPromptV3,GlobalWarming-5,6,5,6,5,6,6,6
Rand10_QPromptV3,GlobalWarming-5,7,7,6,5,7,6,7
Rand10_QPromptV3,GlobalWarming-5,5,5,6,4,6,5,5
Rand10_QPromptV3,GlobalWarming-6,6,7,7,6,6,7,6
Rand10_QPromptV3,GlobalWarming-6,5,6,6,5,5,5,5
Rand10_QPromptV3,GlobalWarming-6,6,6,6,5,6,6,6
Rand10_QPromptV3,GlobalWarming-6,7,7,6,5,7,6,7
Rand10_QPromptV3,GlobalWarming-6,5,5,6,4,5,5,5
Rand10_QPromptV3,GlobalWarming-7,7,7,7,6,6,7,7
Rand10_QPromptV3,GlobalWarming-7,6,6,7,5,5,6,6
Rand10_QPromptV3,GlobalWarming-7,7,6,7,6,6,7,7
Rand10_QPromptV3,GlobalWarming-7,7,7,6,5,7,6,7
Rand10_QPromptV3,GlobalWarming-7,6,6,7,5,5,6,6
Rand10_QPromptV3,GlobalWarming-8,7,7,7,6,7,7,7
Rand10_QPromptV3,GlobalWarming-8,6,6,7,5,6,6,6
Rand10_QPromptV3,GlobalWarming-8,7,6,7,6,6,7,7
Rand10_QPromptV3,GlobalWarming-8,7,7,6,5,7,6,7
Rand10_QPromptV3,GlobalWarming-8,6,6,7,5,6,6,6
Rand10_QPromptV3,GlobalWarming-9,7,7,7,6,7,7,7
Rand10_QPromptV3,GlobalWarming-9,6,6,7,5,6,6,6
Rand10_QPromptV3,GlobalWarming-9,7,6,7,6,6,7,7
Rand10_QPromptV3,GlobalWarming-9,7,7,6,5,7,6,7
Rand10_QPromptV3,GlobalWarming-9,6,6,7,5,6,6,6
Rand10_QPromptV3,GlobalWarming-10,7,7,7,6,7,7,7
Rand10_QPromptV3,GlobalWarming-10,6,6,7,5,6,6,6
Rand10_QPromptV3,GlobalWarming-10,7,6,7,6,6,7,7
Rand10_QPromptV3,GlobalWarming-10,7,7,6,5,7,6,7
Rand10_QPromptV3,GlobalWarming-10,6,6,7,5,6,6,6
Rand10_QPromptV3,GlobalWarming-11,7,7,7,6,7,7,7
Rand10_QPromptV3,GlobalWarming-11,6,6,7,5,6,6,6
Rand10_QPromptV3,GlobalWarming-11,7,6,7,6,6,7,7
Rand10_QPromptV3,GlobalWarming-11,7,7,6,5,7,6,7
Rand10_QPromptV3,GlobalWarming-11,6,6,7,5,6,6,6
Rand10_QPromptV3,GlobalWarming-12,7,7,7,6,7,7,7
Rand10_QPromptV3,GlobalWarming-12,6,6,7,5,6,6,6
Rand10_QPromptV3,GlobalWarming-12,7,6,7,6,6,7,7
Rand10_QPromptV3,GlobalWarming-12,7,7,6,5,7,6,7
Rand10_QPromptV3,GlobalWarming-12,6,6,7,5,6,6,6
Rand10_QPromptV3,HousePrice-1,6,7,6,5,6,7,6
Rand10_QPromptV3,HousePrice-1,5,6,7,4,5,5,5
Rand10_QPromptV3,HousePrice-1,5,6,6,4,5,6,5
Rand10_QPromptV3,HousePrice-1,7,7,6,5,7,7,6
Rand10_QPromptV3,HousePrice-1,4,5,6,3,5,4,4
Rand10_QPromptV3,HousePrice-2,5,6,7,4,5,6,5
Rand10_QPromptV3,HousePrice-2,4,5,6,3,4,4,4
Rand10_QPromptV3,HousePrice-2,5,5,6,4,4,5,5
Rand10_QPromptV3,HousePrice-2,6,6,7,4,5,6,5
Rand10_QPromptV3,HousePrice-2,3,4,5,2,3,3,3
Rand10_QPromptV3,HousePrice-3,7,7,7,6,6,7,7
Rand10_QPromptV3,HousePrice-3,5,6,7,4,5,5,5
Rand10_QPromptV3,HousePrice-3,6,7,7,5,6,6,6
Rand10_QPromptV3,HousePrice-3,7,7,7,6,7,7,7
Rand10_QPromptV3,HousePrice-3,4,5,6,3,4,4,4
Rand10_QPromptV3,HousePrice-4,6,7,7,5,6,6,6
Rand10_QPromptV3,HousePrice-4,4,5,6,3,5,4,4
Rand10_QPromptV3,HousePrice-4,5,6,6,4,5,5,5
Rand10_QPromptV3,HousePrice-4,7,7,7,6,7,7,7
Rand10_QPromptV3,HousePrice-4,3,4,5,2,4,3,3
Rand10_QPromptV3,HousePrice-5,6,7,7,5,7,6,6
Rand10_QPromptV3,HousePrice-5,5,6,7,4,6,5,5
Rand10_QPromptV3,HousePrice-5,6,7,7,5,7,6,6
Rand10_QPromptV3,HousePrice-5,7,7,7,6,7,7,7
Rand10_QPromptV3,HousePrice-5,4,5,6,3,5,4,4
Rand10_QPromptV3,HousePrice-6,7,7,7,6,7,7,7
Rand10_QPromptV3,HousePrice-6,5,6,7,4,6,5,5
Rand10_QPromptV3,HousePrice-6,6,7,7,5,7,6,6
Rand10_QPromptV3,HousePrice-6,7,7,7,6,7,7,7
Rand10_QPromptV3,HousePrice-6,4,5,6,3,5,4,4
Rand10_QPromptV3,HousePrice-7,6,7,7,5,6,6,6
Rand10_QPromptV3,HousePrice-7,5,6,7,4,5,5,5
Rand10_QPromptV3,HousePrice-7,6,7,7,5,6,6,6
Rand10_QPromptV3,HousePrice-7,7,7,7,6,7,7,7
Rand10_QPromptV3,HousePrice-7,4,5,6,3,4,4,4
Rand10_QPromptV3,HousePrice-8,7,7,7,6,7,7,7
Rand10_QPromptV3,HousePrice-8,5,6,7,4,6,5,5
Rand10_QPromptV3,HousePrice-8,6,7,7,5,7,6,6
Rand10_QPromptV3,HousePrice-8,7,7,7,6,7,7,7
Rand10_QPromptV3,HousePrice-8,4,5,6,3,5,4,4
