db_type,img_name,mem,int,tru,emp,aes,itt,cft
Rand10_QPromptV3,COVID-1,6,5,6,5,5,6,6
Rand10_QPromptV3,COVID-1,5,4,6,4,4,5,5
Rand10_QPromptV3,COVID-1,5,4,6,4,4,5,5
Rand10_QPromptV3,COVID-1,6,5,6,4,5,6,6
Rand10_QPromptV3,COVID-1,5,4,6,4,4,5,5
Rand10_QPromptV3,COVID-2,6,5,7,5,6,6,5
Rand10_QPromptV3,COVID-2,5,6,6,6,5,4,5
Rand10_QPromptV3,COVID-2,5,4,6,4,5,5,4
Rand10_QPromptV3,COVID-2,6,5,6,4,6,6,5
Rand10_QPromptV3,COVID-2,5,6,7,7,5,5,6
Rand10_QPromptV3,COVID-3,6,5,7,5,6,6,6
Rand10_QPromptV3,COVID-3,5,6,6,6,5,4,5
Rand10_QPromptV3,COVID-3,5,5,6,4,5,5,5
Rand10_QPromptV3,COVID-3,6,6,7,4,6,7,6
Rand10_QPromptV3,COVID-3,5,4,6,5,4,5,5
Rand10_QPromptV3,COVID-4,6,5,6,5,6,7,6
Rand10_QPromptV3,COVID-4,5,6,7,6,5,5,5
Rand10_QPromptV3,COVID-4,5,4,6,4,5,6,5
Rand10_QPromptV3,COVID-4,7,6,6,5,7,7,6
Rand10_QPromptV3,COVID-4,6,5,7,6,5,6,5
Rand10_QPromptV3,COVID-5,6,5,7,6,6,7,6
Rand10_QPromptV3,COVID-5,5,6,7,7,5,6,5
Rand10_QPromptV3,COVID-5,5,5,7,6,5,6,5
Rand10_QPromptV3,COVID-5,6,6,7,5,7,6,6
Rand10_QPromptV3,COVID-5,5,6,7,7,5,5,5
Rand10_QPromptV3,COVID-6,6,5,6,5,4,5,6
Rand10_QPromptV3,COVID-6,4,5,6,5,3,4,5
Rand10_QPromptV3,COVID-6,5,4,6,4,3,5,5
Rand10_QPromptV3,COVID-6,6,5,6,4,4,6,5
Rand10_QPromptV3,COVID-6,5,4,6,5,3,4,5
Rand10_QPromptV3,COVID-7,6,5,7,6,6,7,6
Rand10_QPromptV3,COVID-7,5,6,7,5,5,5,5
Rand10_QPromptV3,COVID-7,5,5,6,5,5,6,5
Rand10_QPromptV3,COVID-7,6,6,7,5,6,7,6
Rand10_QPromptV3,COVID-7,5,5,7,6,5,6,5
Rand10_QPromptV3,COVID-8,6,5,7,6,6,7,6
Rand10_QPromptV3,COVID-8,5,6,7,5,5,5,5
Rand10_QPromptV3,COVID-8,5,4,6,4,5,6,5
Rand10_QPromptV3,COVID-8,7,6,7,5,7,7,6
Rand10_QPromptV3,COVID-8,5,5,7,6,5,6,5
